"","OGT","Source","Doubling.Time","Species.Name"
"1",27,"Thomas et al.",56.3380281534713,"Akashiwo sanguinea"
"2",20,"https://www.sciencedirect.com/science/article/pii/S1568988316301809",38.51,"Alexandrium andersonii"
"3",14,"Thomas et al.",80.0000000646264,"Alexandrium catenella"
"4",15,"Thomas et al.",36.0076457433738,"Alexandrium fundyense"
"5",20,"Thomas et al.",55.1724137095863,"Alexandrium minutum"
"6",25,"Thomas et al.",27.7721741793634,"Alexandrium monilatum"
"7",20,"Rose and Caron",34.6573590279973,"Alexandrium temarense"
"8",19,"Rose and Caron",27.7258872223978,"Amphidinium carterae"
"9",25,"https://link.springer.com/article/10.1007/s10811-019-01855-0",66.54,"Amphidinium massartii"
"10",22,"https://www.researchgate.net/profile/David-Siqueiros-Beltrones/publication/274382655_Isolation_and_growth_of_eight_strains_of_benthic_diatoms_cultured_under_two_light_conditions/links/554baa7e0cf21ed2135a85cb/Isolation-and-growth-of-eight-strains-of-benthic-diatoms-cultured-under-two-light-conditions.pdf",8.89,"Amphiprora paludosa"
"11",24.3333333333333,"Thomas et al.",10.1694915261789,"Asterionellopsis glacialis"
"12",10,"https://www.sciencedirect.com/science/article/pii/S2211926417303107",23.77,"Attheya septentrionalis"
"13",18,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-3646.1994.00800.x",27.73,"Aureococcus anophagefferens"
"14",25,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037004500.x?casa_token=CGIpEzJreTEAAAAA%3A-Lvt9KVIgHmWSizbUyfWPQ1imMZz038xC6_UiYTO71WANbIqV35NUILp2AdVXxJ4lTlTYG9WY8yWsAA",23.87,"Aureoumbra lagunensis"
"15",22,"https://www.sciencedirect.com/science/article/pii/S1568988313000826?casa_token=-qaUCZ2MliEAAAAA:u1ajqybgasrjDuZUXYCNk1_-ladH4M2BZVlFfwd-3cJj2-ONlUhb_JEM61anKytq5xaYdFR8",36.16,"Azadinium spinosum"
"16",20,"https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x",34,"Bathycoccus prasinos"
"17",24,"https://www.sciencedirect.com/science/article/pii/S0176161717301475",33.27,"Bigelowiella natans"
