Run,Sample
ERR4691852,ERS489689
ERR4691866,ERS490308
ERR4691865,ERS490972
ERR4691780,ERS491140
ERR4691779,ERS491185
ERR4691773,ERS491215
ERR4691776,ERS491217
ERR4691778,ERS491219
ERR4691777,ERS491221
ERR4691781,ERS491248
ERR4691782,ERS491250
ERR4691785,ERS491287
ERR4691855,ERS491326
ERR4691856,ERS491326
ERR4691857,ERS491328
ERR4691858,ERS491328
ERR4691770,ERS491359
ERR4691792,ERS491495
ERR4691788,ERS491497
ERR4691787,ERS491536
ERR4691786,ERS491570
ERR4691812,ERS491814
ERR4691808,ERS491816
ERR4691825,ERS492603
ERR4691863,ERS492622
ERR4691864,ERS492622
ERR4691828,ERS492628
ERR4691833,ERS492959
ERR4691829,ERS492961
ERR4691800,ERS492983
ERR4691795,ERS492985
ERR4691796,ERS492985
ERR4691805,ERS493022
ERR4691801,ERS493023
ERR4691807,ERS493130
ERR4691806,ERS493173
ERR4691841,ERS493197
ERR4691822,ERS493400
ERR4691821,ERS493402
ERR4691817,ERS493442
ERR4691816,ERS493444
ERR4691836,ERS493491
ERR4691834,ERS493493
ERR4691838,ERS493759
ERR4691837,ERS493795
ERR4691846,ERS493888
ERR4691842,ERS493890
ERR4691847,ERS493925
ERR4691850,ERS493927
ERR4691840,ERS494034
ERR4691839,ERS494085
ERR4691851,ERS494246
ERR4691853,ERS494401
ERR4691854,ERS494499
ERR4691845,ERS493908
ERR4691843,ERS493897
ERR4691844,ERS493903
ERR4691849,ERS493930
ERR4691848,ERS493931
ERR4691826,ERS492634
ERR4691827,ERS492635
ERR4691823,ERS492609
ERR4691824,ERS492610
ERR4691832,ERS492965
ERR4691793,ERS492617
ERR4691831,ERS492967
ERR4691830,ERS492968
ERR4691794,ERS492618
ERR4691769,ERS490416
ERR4691799,ERS492994
ERR4691798,ERS492998
ERR4691803,ERS493034
ERR4691768,ERS490422
ERR4691767,ERS490426
ERR4691797,ERS493002
ERR4691804,ERS493030
ERR4691802,ERS493038
ERR4691772,ERS491372
ERR4691811,ERS491823
ERR4691810,ERS491824
ERR4691809,ERS491825
ERR4691771,ERS491377
ERR4691774,ERS491230
ERR4691775,ERS491230
ERR4691835,ERS493500
