Sample,Depth
TARA_N000001578,5.56
TARA_N000001604,5.48
TARA_N000001608,5.48
TARA_N000002293,6.01
TARA_N000001590,NA
TARA_N000001290,5.54
TARA_N000001292,5.54
TARA_N000001296,5.54
TARA_N000001306,5.54
TARA_N000002179,5.43
TARA_N000002464,5.43
TARA_N000002923,5.37
TARA_N000002925,5.37
TARA_N000001642,59.62
TARA_N000001643,59.62
TARA_N000003011,70.08
TARA_N000002695,5.53
TARA_N000002697,5.53
TARA_N000001586,5.56
TARA_N000001382,5.48
TARA_N000001386,5.48
TARA_N000000674,5.40
TARA_N000000678,5.40
TARA_N000001746,5.46
TARA_N000001750,5.46
TARA_N000001754,5.46
TARA_N000002737,5.40
TARA_N000002741,5.40
TARA_N000000267,5.46
TARA_N000000268,5.46
TARA_N000002295,39.22
TARA_N000001006,5.90
TARA_N000001438,5.90
TARA_N000003215,5.33
TARA_N000003219,5.33
TARA_N000001299,5.39
TARA_N000001309,5.39
TARA_N000002817,NA
TARA_N000002821,NA
TARA_N000002825,NA
TARA_N000001616,5.48
TARA_N000002773,6.02
TARA_N000002789,6.02
TARA_N000000269,5.46
TARA_N000001436,5.49
TARA_N000002111,6.05
TARA_N000001024,5.94
TARA_N000001028,5.94
TARA_N000001029,5.94
TARA_N000000522,5.49
TARA_N000002350,115.29
TARA_N000002354,115.29
TARA_N000000666,5.40
TARA_N000000722,5.43
TARA_N000000843,5.84
TARA_N000000076,5.39
TARA_N000002416,5.47
TARA_N000002420,5.47
TARA_N000000071,5.39
TARA_N000000073,5.39
TARA_N000000202,5.97
TARA_N000000203,5.97
TARA_N000000214,5.97
TARA_N000000231,5.97
TARA_N000000063,NA
TARA_N000001305,5.39
TARA_N000000756,5.45
TARA_N000000759,5.45
TARA_N000002775,NA
TARA_N000002791,NA
TARA_N000002797,NA
TARA_N000002931,5.37
TARA_N000000933,5.90
TARA_N000000959,5.90
TARA_N000000963,5.90
TARA_N000003081,5.44
TARA_N000003083,5.44
TARA_N000001372,5.42
TARA_N000001374,5.42
TARA_N000001376,5.42
TARA_N000001377,5.42
TARA_N000002753,5.40
TARA_N000000029,5.41
TARA_N000000539,5.49
TARA_N000001810,5.44
TARA_N000001812,5.44
TARA_N000000038,5.41
TARA_N000000045,5.41
TARA_N000000189,5.97
TARA_N000001937,5.47
TARA_N000001938,5.47
TARA_N000002285,6.01
TARA_N000002289,6.01
TARA_N000000616,5.57
TARA_N000000852,5.46
TARA_N000000581,5.54
TARA_N000000598,5.54
TARA_N000001398,5.48
TARA_N000001972,5.90
TARA_N000001992,5.90
TARA_N000002703,5.53
TARA_N000002777,6.02
TARA_N000003253,5.48
TARA_N000002017,5.38
TARA_N000002019,5.38
TARA_N000003035,5.46
TARA_N000003037,5.46
TARA_N000001478,5.46
TARA_N000001491,5.46
TARA_N000000879,5.46
TARA_N000001362,5.90
TARA_N000000750,5.45
TARA_N000000981,5.90
TARA_N000000662,5.40
TARA_N000003007,5.35
TARA_N000002175,5.43
TARA_N000001727,5.52
TARA_N000001730,5.52
