Sample,ERS
TARA_N000001606,ERS491883
TARA_N000001610,ERS491885
TARA_N000001622,ERS491900
TARA_N000001618,ERS491904
TARA_N000001614,ERS491887
TARA_N000001642,ERS491922
TARA_N000001643,ERS491923
TARA_N000001604,ERS491843
TARA_N000001608,ERS491845
TARA_N000001620,ERS491866
TARA_N000001616,ERS491854
TARA_N000001612,ERS491858
TARA_N000001648,ERS492021
TARA_N000001652,ERS492023
TARA_N000001664,ERS492000
TARA_N000001660,ERS492004
TARA_N000001656,ERS492025
TARA_N000001646,ERS491947
TARA_N000001650,ERS491949
TARA_N000001662,ERS491970
TARA_N000001658,ERS491958
TARA_N000001654,ERS491962
TARA_N000001728,ERS492184
TARA_N000001732,ERS492186
TARA_N000001740,ERS492224
TARA_N000001796,ERS492226
TARA_N000001784,ERS492212
TARA_N000001727,ERS492153
TARA_N000001730,ERS492154
TARA_N000001742,ERS492169
TARA_N000001738,ERS492137
TARA_N000001734,ERS492161
TARA_X000001288,ERS488249
TARA_X000001334,ERS488257
TARA_X000001338,ERS488262
TARA_X000001286,ERS488251
TARA_N000001748,ERS492277
TARA_N000001752,ERS492279
TARA_N000001764,ERS492313
TARA_N000001746,ERS492241
TARA_N000001750,ERS492243
TARA_N000001762,ERS492260
TARA_N000001758,ERS492254
TARA_N000001754,ERS492245
TARA_N000001814,ERS492366
TARA_N000001816,ERS492368
TARA_N000001828,ERS492400
TARA_N000001824,ERS492404
TARA_N000001820,ERS492369
TARA_N000001810,ERS492330
TARA_N000001812,ERS492332
TARA_N000001826,ERS492349
TARA_N000001823,ERS492344
TARA_N000001937,ERS492650
TARA_N000001938,ERS492651
TARA_N000001942,ERS492658
TARA_N000001941,ERS492662
TARA_N000001943,ERS492669
TARA_N000001972,ERS492742
TARA_N000001992,ERS492740
TARA_N000001998,ERS492757
TARA_N000001996,ERS492763
TARA_N000001994,ERS492751
TARA_N000002036,ERS492824
TARA_N000002037,ERS492825
TARA_N000002043,ERS492846
TARA_N000002041,ERS492852
TARA_N000002039,ERS492829
TARA_N000002017,ERS492895
TARA_N000002019,ERS492897
TARA_N000002025,ERS492904
TARA_N000002024,ERS492909
TARA_N000002021,ERS492912
TARA_N000002287,ERS493109
TARA_N000002291,ERS493111
TARA_N000002303,ERS493076
TARA_N000002299,ERS493080
TARA_N000002295,ERS493092
TARA_N000002285,ERS493055
TARA_N000002289,ERS493057
TARA_N000002301,ERS493066
TARA_N000002297,ERS493070
TARA_N000002293,ERS493086
TARA_N000002350,ERS493262
TARA_N000002354,ERS493264
TARA_N000002366,ERS493270
TARA_N000002362,ERS493274
TARA_N000002358,ERS493278
TARA_N000002348,ERS493222
TARA_N000002352,ERS493224
TARA_N000002364,ERS493233
TARA_N000002360,ERS493237
TARA_N000002356,ERS493241
TARA_N000002422,ERS493351
TARA_N000002418,ERS493353
TARA_N000002402,ERS493336
TARA_N000002414,ERS493362
TARA_N000002420,ERS493311
TARA_N000002416,ERS493313
TARA_N000002400,ERS493320
TARA_N000002404,ERS493324
TARA_N000002412,ERS493328
TARA_N000002183,ERS493555
TARA_N000002191,ERS493557
TARA_N000002199,ERS493564
TARA_N000002195,ERS493568
TARA_N000002187,ERS493572
TARA_N000002172,ERS493592
TARA_N000002171,ERS493593
TARA_N000002464,ERS493517
TARA_N000002179,ERS493519
TARA_N000002175,ERS493526
TARA_N000002193,ERS493530
TARA_N000002185,ERS493536
TARA_N000002959,ERS493610
TARA_N000002961,ERS493612
TARA_N000002967,ERS493617
TARA_N000002965,ERS493621
TARA_N000002963,ERS493626
TARA_N000002934,ERS493677
TARA_N000002942,ERS493686
TARA_N000002940,ERS493690
TARA_N000002938,ERS493694
TARA_N000002923,ERS493643
TARA_N000002925,ERS493645
TARA_N000002931,ERS493652
TARA_N000002929,ERS493656
TARA_N000002927,ERS493660
TARA_N000003011,ERS493797
TARA_N000003017,ERS493810
TARA_N000003013,ERS493804
TARA_N000002997,ERS493829
TARA_N000003007,ERS493768
TARA_N000003005,ERS493772
TARA_N000003003,ERS493776
TARA_N000003035,ERS493851
TARA_N000003037,ERS493853
TARA_N000003043,ERS493871
TARA_N000003039,ERS493860
TARA_N000003104,ERS493997
TARA_N000003098,ERS493976
TARA_N000003100,ERS493980
TARA_N000003102,ERS493999
TARA_N000003081,ERS493952
TARA_N000003083,ERS493954
TARA_N000003089,ERS493965
TARA_N000003087,ERS493971
TARA_N000003148,ERS494070
TARA_N000003156,ERS494060
TARA_N000003146,ERS494064
TARA_N000003141,ERS494045
TARA_N000003153,ERS494055
TARA_N000003139,ERS494049
TARA_N000003175,ERS494129
TARA_N000003179,ERS494131
TARA_N000003191,ERS494147
TARA_N000003187,ERS494142
TARA_N000003183,ERS494136
TARA_N000003215,ERS494182
TARA_N000003219,ERS494184
TARA_N000003231,ERS494191
TARA_N000003227,ERS494195
TARA_N000003223,ERS494199
TARA_N000003253,ERS494248
TARA_N000003240,ERS494255
TARA_N000003246,ERS494259
TARA_N000003257,ERS494263
TARA_N000002101,ERS494302
TARA_N000002103,ERS494304
TARA_N000002109,ERS494313
TARA_N000002107,ERS494317
TARA_N000002105,ERS494322
TARA_N000002111,ERS494339
TARA_N000002119,ERS494350
TARA_N000002117,ERS494355
TARA_N000002115,ERS494359
TARA_N000002509,ERS494436
TARA_N000002141,ERS494412
TARA_N000002139,ERS494418
TARA_N000002137,ERS494422
TARA_N000002145,ERS494501
TARA_N000002719,ERS494508
TARA_N000002717,ERS494484
TARA_N000002147,ERS494478
TARA_N000002695,ERS494452
TARA_N000002697,ERS494454
TARA_N000002703,ERS494461
TARA_N000002701,ERS494465
TARA_N000002699,ERS494470
TARA_N000002739,ERS494572
TARA_N000002751,ERS494557
TARA_N000002755,ERS494553
TARA_N000002737,ERS494527
TARA_N000002741,ERS494529
TARA_N000002753,ERS494536
TARA_N000002749,ERS494540
TARA_N000002745,ERS494545
TARA_N000002480,ERS494658
TARA_N000002482,ERS494660
TARA_N000002775,ERS494666
TARA_N000002803,ERS494662
TARA_N000002791,ERS494670
TARA_N000002783,ERS494686
TARA_N000002797,ERS494673
TARA_N000002773,ERS494592
TARA_N000002789,ERS494594
TARA_N000002777,ERS494602
TARA_N000002781,ERS494612
TARA_N000002761,ERS494604
TARA_N000002823,ERS494741
TARA_N000002825,ERS494707
TARA_N000002819,ERS494743
TARA_N000002807,ERS494752
TARA_N000002809,ERS494720
TARA_N000002811,ERS494754
TARA_N000002813,ERS494726
TARA_N000002817,ERS494711
TARA_A100000604,ERS488352
TARA_A100000589,ERS488356
TARA_A100000602,ERS488353
TARA_A100000595,ERS488338
TARA_A100000596,ERS488342
TARA_A100000598,ERS488339
TARA_A100000759,ERS488420
TARA_A100000761,ERS488412
TARA_A100000698,ERS488460
TARA_A100000700,ERS506046
TARA_A100000695,ERS488464
TARA_A100000696,ERS488461
TARA_A100000534,ERS488446
TARA_A100000536,ERS488468
