SRZ187206_S0001.ffn	SRR5788236
SRZ187207_S0002.ffn	SRR5788235
SRZ187208_S0003.ffn	SRR5788238
SRZ187209_S0004.ffn	SRR5788237
SRZ187210_S0005.ffn	SRR5788232
SRZ187211_S0006.ffn	SRR5788231
SRZ187212_S0008.ffn	SRR5788234
SRZ187213_S0009.ffn	SRR5788233
SRZ187214_S0010.ffn	SRR5788230
SRZ187215_S0011.ffn	SRR5788229
SRZ187216_S0012.ffn	SRR5788436
SRZ187217_S0013.ffn	SRR5788435
SRZ187218_S0015.ffn	SRR5788434
SRZ187219_S0016.ffn	SRR5788433
SRZ187220_S0017.ffn	SRR5788432
SRZ187221_S0018.ffn	SRR5788431
SRZ187222_S0019.ffn	SRR5788430
SRZ187223_S0020.ffn	SRR5788429
SRZ187224_S0021.ffn	SRR5788428
SRZ187225_S0022.ffn	SRR5788427
SRZ187226_S0023.ffn	SRR5788371
SRZ187227_S0024.ffn	SRR5788372
SRZ187228_S0025.ffn	SRR5788369
SRZ187229_S0026.ffn	SRR5788370
SRZ187230_S0027.ffn	SRR5788367
SRZ187231_S0028.ffn	SRR5788368
SRZ187232_S0029.ffn	SRR5788365
SRZ187233_S0030.ffn	SRR5788366
SRZ187234_S0031.ffn	SRR5788373
SRZ187235_S0032.ffn	SRR5788374
SRZ187236_S0033.ffn	SRR5788197
SRZ187237_S0034.ffn	SRR5788196
SRZ187238_S0035.ffn	SRR5788199
SRZ187239_S0036.ffn	SRR5788198
SRZ187240_S0037.ffn	SRR5788193
SRZ187241_S0039.ffn	SRR5788192
SRZ187242_S0040.ffn	SRR5788195
SRZ187243_S0041.ffn	SRR5788194
SRZ187244_S0042.ffn	SRR5788201
SRZ187245_S0043.ffn	SRR5788200
SRZ187246_S0044.ffn	SRR5788144
SRZ187247_S0045.ffn	SRR5788145
SRZ187248_S0046.ffn	SRR5788146
SRZ187249_S0047.ffn	SRR5788147
SRZ187250_S0048.ffn	SRR5788140
SRZ187251_S0049.ffn	SRR5788141
SRZ187252_S0050.ffn	SRR5788142
SRZ187253_S0051.ffn	SRR5788143
SRZ187254_S0052.ffn	SRR5788138
SRZ187255_S0053.ffn	SRR5788139
SRZ187256_S0054.ffn	SRR5788008
SRZ187257_S0055.ffn	SRR5788007
SRZ187258_S0057.ffn	SRR5788006
SRZ187259_S0058.ffn	SRR5788005
SRZ187260_S0059.ffn	SRR5788012
SRZ187261_S0060.ffn	SRR5788011
SRZ187262_S0061.ffn	SRR5788010
SRZ187263_S0062.ffn	SRR5788009
SRZ187264_S0063.ffn	SRR5788014
SRZ187265_S0064.ffn	SRR5788013
SRZ187266_S0065.ffn	SRR5788065
SRZ187267_S0066.ffn	SRR5788066
SRZ187268_S0067.ffn	SRR5788063
SRZ187269_S0068.ffn	SRR5788064
SRZ187270_S0069.ffn	SRR5788069
SRZ187271_S0070.ffn	SRR5788070
SRZ187272_S0071.ffn	SRR5788067
SRZ187273_S0072.ffn	SRR5788068
SRZ187274_S0073.ffn	SRR5788061
SRZ187275_S0074.ffn	SRR5788062
SRZ187276_S0075.ffn	SRR5788107
SRZ187277_S0076.ffn	SRR5788204
SRZ187278_S0077.ffn	SRR5788214
SRZ187279_S0078.ffn	SRR5788213
SRZ187280_S0079.ffn	SRR5788036
SRZ187281_S0080.ffn	SRR5788215
SRZ187282_S0081.ffn	SRR5788228
SRZ187283_S0082.ffn	SRR5788224
SRZ187284_S0083.ffn	SRR5788313
SRZ187285_S0084.ffn	SRR5788312
SRZ187286_S0085.ffn	SRR5787993
