,eukulele_taxonomy,mmseqs_taxonomy,groups,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,proportion_coding_sequence_mean,proportion_coding_sequence_std,proportion_repeat_mean,proportion_repeat_std,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_IOD1_E001,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,Cryptophyta,37074820,8377,15520088,2726308,0,58.27,4531,2799,0.8352168733153639,0.03960332822372824,0.009127978436657679,0.004848705105108014,18210,8092,44.44,2035,2930,16.09,2922,57.25,2.75,69.57,8.7,Eukaryota_Fungi_Ascomycota,IO,DCM,0.8-5
TOPAZ_IOD1_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,2801896,851,188909,0,0,44.45,3208,352,0.8797744827586207,0.1632707338596764,0.017537241379310346,0.00561894449319426,1749,958,54.77,338,357,20.41,842,13.73,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E003,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,Haptophyta,30740252,7112,12314358,2329232,0,62.86,4424,2372,0.8695444155844156,0.03843846304863886,0.021962012987012988,0.014732528608308775,19545,8541,43.7,1738,2596,13.28,2850,49.41,0.39,52.08,4.17,Eukaryota_Fungi_Microsporidia,IO,DCM,0.8-5
TOPAZ_IOD1_E004,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,Haptophyta,39191221,9102,15279501,2168595,0,62.08,4404,3132,0.7393057653061225,0.041322468963640606,0.0229259693877551,0.0074900431239788515,19350,8805,45.5,1741,2660,13.75,2859,50.98,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E005,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas sp.,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;-,Chlorophyta,17055374,1415,15579731,12443612,1136508,66.2,17298,291,0.8277152631578948,0.05177579129392456,0.004298830409356725,0.003838935316341222,9083,5751,63.32,2542,3152,34.7,3127,74.9,0.39,94.74,0.0,Eukaryota,IO,DCM,0.8-5
TOPAZ_IOD1_E006,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,6216056,1828,646516,10967,0,58.76,3307,738,0.932463015873016,0.09958807799232848,0.0012542857142857145,0.0013405302365828025,3137,1500,47.82,343,406,12.94,956,12.16,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E007,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;-;-,Cryptophyta,7798024,2202,1200476,75211,0,49.71,3480,859,0.9177584615384616,0.02290685185126276,0.0,0.0,3755,1913,50.95,550,655,17.44,1181,21.18,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E008,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,25519293,5508,11988952,2613370,0,33.14,4794,1784,0.7999080859375001,0.05940712071173152,0.0107346484375,0.004523335056421734,12527,6183,49.36,1941,2530,20.2,2891,65.49,1.18,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E009,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,Chlorophyta,11967780,2657,5212218,921112,0,65.22,4635,897,0.8655485833333334,0.04542878361229866,0.0003168333333333333,0.0007086736241427048,6460,4134,63.99,1978,2340,36.22,2677,56.47,0.39,63.16,0.0,Eukaryota,IO,DCM,0.8-5
TOPAZ_IOD1_E010,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,17808078,4387,5642691,591598,0,51.4,4041,1572,0.9074831843575418,0.06600761962470003,0.0022731284916201115,0.0016873496590090805,9379,4253,45.35,1190,1493,15.92,2139,38.04,0.78,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,33529673,7262,15793518,2911227,0,40.97,4810,2394,0.8100594345238095,0.041333740245905054,0.007150684523809525,0.005099928087307985,18623,8179,43.92,1793,2656,14.26,2888,60.39,1.96,64.58,12.5,Eukaryota_Fungi_Microsporidia,IO,DCM,0.8-5
TOPAZ_IOD1_E012,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,12257231,1914,8691266,3943275,0,48.11,7330,513,0.8073721951219511,0.0585688791851319,0.015036178861788619,0.007146679087818945,6484,4304,66.38,2101,2517,38.82,2701,68.63,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E013,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,Chlorophyta,9161534,2199,3144354,507692,0,67.46,4207,769,0.8916621739130437,0.05052487847856838,0.0,0.0,4645,3013,64.87,1440,1650,35.52,2146,46.67,0.39,46.58,0.85,Eukaryota_Viridiplantae,IO,DCM,0.8-5
TOPAZ_IOD1_E014,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;-,Chlorophyta,15397391,996,14706066,12797060,1842596,60.92,22507,218,0.8183413636363637,0.03159860532571187,0.011718506493506494,0.011246475163961114,8568,5946,69.4,2855,3459,40.37,3400,90.98,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E015,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,8828126,2369,1874417,64554,0,46.96,3695,902,0.9070670786516852,0.0718494188978596,0.003556629213483146,0.002459467807519591,4919,2392,48.63,836,991,20.15,1605,31.76,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E016,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Bacillariophyceae;-;Bacillariales;Bacillariaceae;Cylindrotheca closterium,Ochrophyta,22608913,2943,18401900,10678994,0,45.67,9490,753,0.747478986784141,0.05397348406201676,0.002199515418502202,0.001962796313605923,11961,6678,55.83,2318,3095,25.88,3060,80.0,0.78,89.74,0.0,Eukaryota_Bacillariophyta,IO,DCM,0.8-5
TOPAZ_IOD1_E017,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,16049173,3633,6744788,1207633,0,40.62,4486,1207,0.829337701863354,0.050467785017100086,0.008170434782608696,0.004568342503262332,8543,3656,42.8,1032,1258,14.73,1996,38.04,0.39,33.99,4.36,Eukaryota_Fungi_Ascomycota,IO,DCM,0.8-5
TOPAZ_IOD1_E018,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,11942366,832,11240763,9492070,1694169,60.63,20479,168,0.8384424166666666,0.05849342816356714,0.017437583333333336,0.011293848251432677,7249,4958,68.4,2468,2992,41.27,3015,81.96,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E019,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,6695314,1681,1860065,126541,0,47.18,3991,626,0.9466885074626866,0.019389390717585688,0.004276865671641789,0.0022851880022957604,3184,1687,52.98,565,646,20.29,1178,16.86,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD4_E001,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,Metazoa,18068592,5141,3000245,352774,0,36.06,3356,1973,0.5260807182320442,0.07664828645580549,0.03349475138121547,0.009561799546818987,9428,2462,26.11,577,665,7.05,1290,17.25,0.0,17.72,1.06,Eukaryota,IO,DCM,180-2000
TOPAZ_IOD4_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,3134990,887,529951,150540,0,33.73,3299,337,0.61050875,0.1167682662570936,0.0048415625,0.003832248939408001,1638,304,18.56,49,58,3.54,203,0.39,0.0,,,,IO,DCM,180-2000
TOPAZ_IOD3_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,60166704,15552,16709305,2672387,0,33.52,3763,5532,0.4418413621262458,0.12010157287250765,0.07499503322259135,0.016843535982711277,21290,7985,37.51,2299,3099,14.56,3225,57.65,1.18,,,,IO,DCM,20-180
